,Player,SR,Ave,Cluster_id,cluster_labels
0,SR Tendulkar (INDIA),86.23,44.83,0,0
1,KC Sangakkara (Asia/ICC/SL),78.86,41.98,1,0
2,RT Ponting (AUS/ICC),80.39,42.03,1,0
3,ST Jayasuriya (Asia/SL),91.2,32.36,2,1
4,DPMD Jayawardene (Asia/SL),78.96,33.37,3,2
5,Inzamam-ul-Haq (Asia/PAK),74.24,39.52,1,0
6,JH Kallis (Afr/ICC/SA),72.89,44.36,1,0
7,SC Ganguly (Asia/INDIA),73.7,41.02,1,0
8,R Dravid (Asia/ICC/INDIA),71.24,39.16,1,0
9,BC Lara (ICC/WI),79.51,40.48,1,0
10,TM Dilshan (SL),86.23,39.27,0,0
11,Mohammad Yousuf (Asia/PAK),75.1,41.71,1,0
12,AC Gilchrist (AUS/ICC),96.94,35.89,2,1
13,MS Dhoni (Asia/INDIA),88.69,51.32,0,3
14,M Azharuddin (INDIA),74.02,36.92,3,2
15,AB de Villiers (Afr/SA),100.25,53.55,0,3
16,PA de Silva (SL),81.13,34.9,3,2
17,CH Gayle (ICC/WI),85.11,37.33,3,0
18,Saeed Anwar (PAK),80.67,39.21,1,0
19,S Chanderpaul (WI),70.74,41.6,1,0
20,Yuvraj Singh (Asia/INDIA),87.67,36.55,3,0
21,DL Haynes (WI),63.09,41.37,1,0
22,MS Atapattu (SL),67.72,37.57,1,0
23,ME Waugh (AUS),76.9,39.35,1,0
24,V Sehwag (Asia/ICC/INDIA),104.33,35.05,2,1
25,V Kohli (INDIA),90.99,53.94,0,3
26,HH Gibbs (SA),83.26,36.13,3,0
27,Shahid Afridi (Asia/ICC/PAK),117.0,23.57,2,1
28,SP Fleming (ICC/NZ),71.49,32.4,3,2
29,MJ Clarke (AUS),78.98,44.58,1,0
30,SR Waugh (AUS),75.91,32.9,3,2
31,A Ranatunga (SL),77.9,35.84,3,2
32,Javed Miandad (PAK),67.01,41.7,1,0
33,Younis Khan (PAK),75.29,31.24,3,2
34,HM Amla (SA),89.05,50.25,0,3
35,Saleem Malik (PAK),76.41,32.88,3,2
36,NJ Astle (NZ),72.64,34.92,3,2
37,GC Smith (Afr/SA),80.81,37.98,3,0
38,MG Bevan (AUS),74.16,53.58,0,3
39,G Kirsten (SA),72.04,40.95,1,0
40,A Flower (ZIM),74.59,35.34,3,2
41,Shoaib Malik (PAK),81.72,35.23,3,2
42,IVA Richards (WI),90.2,47.0,0,0
43,GW Flower (ZIM),67.58,33.52,3,2
44,Ijaz Ahmed (PAK),80.3,32.33,3,2
45,AR Border (AUS),71.42,30.62,3,2
46,LRPL Taylor (NZ),82.03,44.12,0,0
47,RB Richardson (WI),63.74,33.41,3,2
48,WU Tharanga (Asia/SL),75.03,34.3,3,2
49,ML Hayden (AUS/ICC),78.96,43.8,1,0
50,BB McCullum (NZ),96.37,30.41,2,1
51,DM Jones (AUS),72.56,44.61,1,0
52,DC Boon (AUS),65.13,37.04,1,0
53,JN Rhodes (SA),80.9,35.11,3,2
54,Mohammad Hafeez (PAK),75.58,33.01,3,2
55,Rameez Raja (PAK),63.31,32.09,3,2
56,RR Sarwan (WI),75.74,42.67,1,0
57,EJG Morgan (ENG/IRE),88.62,38.73,0,0
58,CL Hooper (WI),76.63,35.34,3,2
59,SR Watson (AUS),90.44,40.54,0,0
60,Tamim Iqbal (BDESH),78.31,34.38,3,2
61,SK Raina (INDIA),93.76,35.46,2,1
62,WJ Cronje (SA),76.47,38.64,1,0
63,MJ Guptill (NZ),87.73,43.3,0,0
64,MEK Hussey (AUS),87.16,48.15,0,0
65,RG Sharma (INDIA),84.56,42.46,0,0
66,IR Bell (ENG),77.16,37.87,3,0
67,A Jadeja (INDIA),69.8,37.47,1,0
68,DR Martyn (AUS),77.73,40.8,1,0
69,BRM Taylor (ZIM),74.47,34.82,3,2
70,G Gambhir (INDIA),85.25,39.68,0,0
71,ADR Campbell (ZIM),66.18,30.5,3,2
72,MN Samuels (WI),76.24,34.3,3,2
73,RS Mahanama (SL),60.57,29.49,3,2
74,CG Greenidge (WI),64.92,45.03,1,0
75,Misbah-ul-Haq (PAK),73.75,43.4,1,0
76,PD Collingwood (ENG),76.98,35.36,3,2
77,A Symonds (AUS),92.44,39.75,0,0
78,Abdul Razzaq (Asia/PAK),81.25,29.7,3,2
